# Time, Layer_QualityIndex,bl_height,Mean_Layer_Height,n_BL,cloud_stat,cloud_dat
01/06/2026 10:00:00,3,1200,990,3,0,-999
01/06/2026 10:00:16,3,1200,1190,3,0,-999
01/06/2026 10:00:32,3,1200,1190,3,0,-999
01/06/2026 10:00:48,3,1200,1190,3,0,-999
01/06/2026 10:01:04,3,1200,1190,3,0,-999
01/06/2026 10:01:20,3,1200,1190,3,0,-999
01/06/2026 10:01:36,3,1200,1190,3,0,-999
01/06/2026 10:01:52,3,1190,1190,3,0,-999
01/06/2026 10:02:08,3,1190,1190,3,0,-999
01/06/2026 10:02:24,3,1190,1190,3,0,-999
01/06/2026 10:02:40,3,1190,1190,3,0,-999
01/06/2026 10:02:56,3,1190,1190,3,0,-999
01/06/2026 10:03:12,3,1190,1190,3,0,-999
01/06/2026 10:03:28,3,1190,1190,3,0,-999
01/06/2026 10:03:44,3,1190,1190,3,0,-999
01/06/2026 10:04:00,3,1180,1190,3,0,-999
01/06/2026 10:04:16,3,1180,1190,3,0,-999
01/06/2026 10:04:32,3,1190,1190,3,0,-999
01/06/2026 10:04:48,3,1180,1190,3,0,-999
01/06/2026 10:05:04,3,1180,1190,3,0,-999
01/06/2026 10:05:20,3,1180,1190,3,0,-999
01/06/2026 10:05:36,3,1180,1190,3,0,-999
01/06/2026 10:05:52,3,1180,1190,3,0,-999
01/06/2026 10:06:08,3,1180,1190,3,0,-999
01/06/2026 10:06:24,3,1180,1190,3,0,-999
01/06/2026 10:06:40,3,1180,1190,3,0,-999
01/06/2026 10:06:56,3,1180,1190,3,0,-999
01/06/2026 10:07:12,3,1180,1190,3,0,-999
01/06/2026 10:07:28,3,1180,1190,3,0,-999
01/06/2026 10:07:44,3,1180,1190,3,0,-999
01/06/2026 10:08:00,3,1180,1190,3,0,-999
01/06/2026 10:08:16,3,1180,1190,3,0,-999
01/06/2026 10:08:32,3,1180,1190,3,0,-999
01/06/2026 10:08:48,3,1180,1190,3,0,-999
01/06/2026 10:09:04,3,1180,1190,3,0,-999
01/06/2026 10:09:20,3,1180,1190,3,0,-999
01/06/2026 10:09:36,3,1180,1190,3,0,-999
01/06/2026 10:09:52,3,1190,1190,3,0,-999
01/06/2026 10:10:08,3,1190,1190,3,0,-999
01/06/2026 10:10:24,3,1190,1190,3,0,-999
01/06/2026 10:10:40,3,1190,1190,3,0,-999
01/06/2026 10:10:56,3,1190,1190,3,0,-999
01/06/2026 10:11:12,3,1190,1190,3,0,-999
01/06/2026 10:11:28,3,1190,1190,3,0,-999
01/06/2026 10:11:44,3,1190,1190,3,0,-999
01/06/2026 10:12:00,3,1190,1190,3,0,-999
01/06/2026 10:12:16,3,1190,1190,3,0,-999
01/06/2026 10:12:32,3,1190,1190,3,0,-999
01/06/2026 10:12:48,3,1200,1190,3,0,-999
01/06/2026 10:13:04,3,1200,1190,3,0,-999
01/06/2026 10:13:20,3,1200,1190,3,0,-999
01/06/2026 10:13:36,3,1200,1190,3,0,-999
01/06/2026 10:13:52,3,1200,1190,3,0,-999
01/06/2026 10:14:08,3,1200,1190,3,0,-999
01/06/2026 10:14:24,3,1200,1190,3,0,-999
01/06/2026 10:14:40,3,1200,1190,3,0,-999
01/06/2026 10:14:56,3,1210,1190,3,0,-999
01/06/2026 10:15:12,3,1210,1190,3,0,-999
01/06/2026 10:15:28,3,1210,1190,3,0,-999
