# Time, Layer_QualityIndex,bl_height,Mean_Layer_Height,n_BL,cloud_stat,cloud_dat
21/05/2025 10:00:00,1,1570,170,3,2,1330
21/05/2025 10:00:16,1,1570,170,3,2,1360
21/05/2025 10:00:32,1,1570,170,3,2,1360
21/05/2025 10:00:48,1,1570,170,3,1,1410
21/05/2025 10:01:04,1,1570,170,3,1,1410
21/05/2025 10:01:20,1,1570,170,3,2,1540
21/05/2025 10:01:36,1,1570,170,3,2,1540
21/05/2025 10:01:52,1,-999,170,3,2,1540
21/05/2025 10:02:08,1,-999,170,3,2,1560
21/05/2025 10:02:24,1,-999,170,3,2,1560
21/05/2025 10:02:40,1,-999,170,3,2,1490
21/05/2025 10:02:56,1,-999,170,3,2,1490
21/05/2025 10:03:12,1,-999,170,3,2,1470
21/05/2025 10:03:28,1,1700,170,3,2,1470
21/05/2025 10:03:44,1,1700,170,3,2,1490
21/05/2025 10:04:00,1,1700,170,3,2,1490
21/05/2025 10:04:16,1,1700,170,3,2,1490
21/05/2025 10:04:32,1,1600,170,3,2,1400
21/05/2025 10:04:48,1,1600,170,3,2,1400
21/05/2025 10:05:04,1,1590,170,3,2,1390
21/05/2025 10:05:20,1,1590,170,3,2,1390
21/05/2025 10:05:36,1,1590,170,3,1,1410
21/05/2025 10:05:52,1,1590,170,3,1,1410
21/05/2025 10:06:08,1,1590,170,3,2,1570
21/05/2025 10:06:24,1,1590,170,3,2,1570
21/05/2025 10:06:40,1,1590,170,3,2,1570
21/05/2025 10:06:56,1,-999,170,3,1,1910
21/05/2025 10:07:12,1,-999,170,3,1,1910
21/05/2025 10:07:28,1,1590,170,3,2,1550
21/05/2025 10:07:44,1,1590,170,3,2,1550
21/05/2025 10:08:00,1,1590,170,3,2,1540
21/05/2025 10:08:16,1,1590,170,3,2,1540
21/05/2025 10:08:32,1,1590,170,3,2,1500
21/05/2025 10:08:48,1,1590,170,3,2,1500
21/05/2025 10:09:04,1,1590,170,3,2,1500
21/05/2025 10:09:20,1,1590,170,3,3,1550
21/05/2025 10:09:36,1,1590,170,3,3,1550
21/05/2025 10:09:52,1,1590,170,3,2,1410
21/05/2025 10:10:08,1,1590,170,3,2,1410
21/05/2025 10:10:24,1,1590,170,3,1,1410
21/05/2025 10:10:40,1,1590,170,3,1,1410
21/05/2025 10:10:56,1,-999,170,3,1,1400
21/05/2025 10:11:12,1,-999,170,3,1,1400
21/05/2025 10:11:28,1,-999,170,3,1,1400
21/05/2025 10:11:44,1,-999,170,3,1,1340
21/05/2025 10:12:00,1,-999,170,3,1,1340
21/05/2025 10:12:16,1,-999,170,3,1,1320
21/05/2025 10:12:32,1,90,170,3,1,1320
21/05/2025 10:12:48,1,90,170,3,1,1310
21/05/2025 10:13:04,1,90,170,3,1,1310
21/05/2025 10:13:20,1,90,170,3,1,1290
21/05/2025 10:13:36,1,90,170,3,1,1290
21/05/2025 10:13:52,1,90,170,3,1,1290
21/05/2025 10:14:08,1,90,170,3,1,1280
21/05/2025 10:14:24,1,90,170,3,1,1280
21/05/2025 10:14:40,1,90,170,3,1,1290
21/05/2025 10:14:56,1,90,170,3,1,1290
21/05/2025 10:15:12,1,80,170,3,1,1320
21/05/2025 10:15:28,1,80,170,3,1,1320
21/05/2025 10:15:44,1,80,170,3,1,1350
21/05/2025 10:16:00,1,80,170,3,1,1350
21/05/2025 10:16:16,1,80,170,3,1,1350
21/05/2025 10:16:32,1,80,170,3,1,1390
21/05/2025 10:16:48,1,80,170,3,1,1390
21/05/2025 10:17:04,1,80,170,3,1,1380
21/05/2025 10:17:20,1,80,170,3,1,1380
21/05/2025 10:17:36,1,80,170,3,1,1360
21/05/2025 10:17:52,1,80,170,3,1,1360
21/05/2025 10:18:08,1,80,170,3,1,1420
21/05/2025 10:18:24,1,80,170,3,1,1420
21/05/2025 10:18:40,1,320,170,3,1,1420
21/05/2025 10:18:56,1,320,170,3,1,1460
21/05/2025 10:19:12,1,320,170,3,1,1460
21/05/2025 10:19:28,1,320,170,3,1,1420
21/05/2025 10:19:44,1,320,170,3,1,1420
21/05/2025 10:20:00,1,320,170,3,1,1400
21/05/2025 10:20:16,1,320,170,3,1,1400
21/05/2025 10:20:32,1,320,170,3,1,1420
21/05/2025 10:20:48,1,320,170,3,1,1420
21/05/2025 10:21:04,1,320,170,3,1,1420
21/05/2025 10:21:20,1,320,170,3,1,1410
21/05/2025 10:21:36,1,320,170,3,1,1410
21/05/2025 10:21:52,1,320,170,3,1,1450
21/05/2025 10:22:08,1,320,170,3,1,1450
21/05/2025 10:22:24,1,440,170,3,1,1440
21/05/2025 10:22:40,1,440,170,3,1,1440
21/05/2025 10:22:56,1,440,170,3,2,1450
21/05/2025 10:23:12,1,440,170,3,2,1450
21/05/2025 10:23:28,1,440,170,3,2,1450
21/05/2025 10:23:44,1,440,170,3,1,1490
21/05/2025 10:24:00,1,440,170,3,1,1490
21/05/2025 10:24:16,1,440,170,3,1,1450
21/05/2025 10:24:32,1,440,170,3,1,1450
21/05/2025 10:24:48,1,440,170,3,1,1440
21/05/2025 10:25:04,1,430,170,3,1,1440
21/05/2025 10:25:20,1,430,170,3,1,1460
21/05/2025 10:25:36,1,430,170,3,1,1460
21/05/2025 10:25:52,1,430,170,3,1,1460
21/05/2025 10:26:08,1,430,170,3,1,1460
21/05/2025 10:26:24,1,430,170,3,1,1460
21/05/2025 10:26:40,1,430,170,3,1,1500
21/05/2025 10:26:56,1,870,170,3,1,1500
21/05/2025 10:27:12,1,870,170,3,1,1510
21/05/2025 10:27:28,1,870,170,3,1,1510
21/05/2025 10:27:44,1,870,170,3,1,1500
21/05/2025 10:28:00,1,870,170,3,1,1500
21/05/2025 10:28:16,1,870,170,3,1,1500
21/05/2025 10:28:32,1,870,170,3,2,490
21/05/2025 10:28:48,1,870,170,3,2,490
21/05/2025 10:29:04,1,870,170,3,2,620
