# Time, Layer_QualityIndex,bl_height,Mean_Layer_Height,n_BL,cloud_stat,cloud_dat
06/05/2024 10:00:00,-999,850,-999,3,0,-999
06/05/2024 10:00:16,-999,850,-999,3,0,-999
06/05/2024 10:00:32,-999,860,-999,3,0,-999
06/05/2024 10:00:48,-999,870,-999,3,0,-999
06/05/2024 10:01:04,-999,870,-999,3,0,-999
06/05/2024 10:01:20,-999,880,-999,3,0,-999
06/05/2024 10:01:36,-999,890,-999,3,0,-999
06/05/2024 10:01:52,-999,890,-999,3,0,-999
06/05/2024 10:02:08,-999,900,-999,3,0,-999
06/05/2024 10:02:24,-999,910,-999,3,0,-999
06/05/2024 10:02:40,-999,920,-999,3,0,-999
06/05/2024 10:02:56,-999,930,-999,3,0,-999
06/05/2024 10:03:12,-999,940,-999,3,0,-999
06/05/2024 10:03:28,-999,950,-999,3,0,-999
06/05/2024 10:03:44,-999,960,-999,3,0,-999
06/05/2024 10:04:00,-999,970,-999,3,0,-999
06/05/2024 10:04:16,-999,980,-999,3,0,-999
06/05/2024 10:04:32,-999,990,-999,3,0,-999
06/05/2024 10:04:48,-999,1000,-999,3,0,-999
06/05/2024 10:05:04,-999,1020,-999,3,0,-999
06/05/2024 10:05:20,-999,1030,-999,3,0,-999
06/05/2024 10:05:36,-999,1040,-999,3,0,-999
06/05/2024 10:05:52,-999,1050,-999,3,0,-999
06/05/2024 10:06:08,-999,1060,-999,3,0,-999
06/05/2024 10:06:24,-999,1070,-999,3,0,-999
06/05/2024 10:06:40,-999,1080,-999,3,0,-999
06/05/2024 10:06:56,-999,1090,-999,3,0,-999
06/05/2024 10:07:12,-999,1090,-999,3,0,-999
06/05/2024 10:07:28,-999,1100,-999,3,0,-999
06/05/2024 10:07:44,-999,1110,-999,3,0,-999
06/05/2024 10:08:00,-999,1120,-999,3,0,-999
06/05/2024 10:08:16,-999,1140,-999,3,0,-999
06/05/2024 10:08:32,-999,1150,-999,3,0,-999
06/05/2024 10:08:48,-999,1160,-999,3,0,-999
06/05/2024 10:09:04,-999,1170,-999,3,0,-999
06/05/2024 10:09:20,-999,1180,-999,3,0,-999
06/05/2024 10:09:36,-999,1190,-999,3,0,-999
06/05/2024 10:09:52,-999,1200,-999,3,0,-999
06/05/2024 10:10:08,-999,1210,-999,3,0,-999
06/05/2024 10:10:24,-999,1220,-999,3,0,-999
06/05/2024 10:10:40,-999,1230,-999,3,0,-999
06/05/2024 10:10:56,-999,1240,-999,3,0,-999
06/05/2024 10:11:12,-999,1250,-999,3,0,-999
06/05/2024 10:11:28,-999,1260,-999,3,0,-999
06/05/2024 10:11:44,-999,1260,-999,3,0,-999
06/05/2024 10:12:00,-999,1270,-999,3,0,-999
06/05/2024 10:12:16,-999,1280,-999,3,0,-999
06/05/2024 10:12:32,-999,1280,-999,3,0,-999
06/05/2024 10:12:48,-999,1290,-999,3,0,-999
06/05/2024 10:13:04,-999,1070,-999,3,4,1380
06/05/2024 10:13:20,-999,1070,-999,3,4,1380
06/05/2024 10:13:36,-999,1410,-999,3,0,-999
06/05/2024 10:13:52,-999,1410,-999,3,0,-999
06/05/2024 10:14:08,-999,1080,-999,3,1,1310
06/05/2024 10:14:24,-999,1080,-999,3,1,1310
06/05/2024 10:14:40,-999,1090,-999,3,1,1300
06/05/2024 10:14:56,-999,1090,-999,3,1,1300
06/05/2024 10:15:12,-999,-999,-999,3,1,1300
06/05/2024 10:15:28,-999,-999,-999,3,4,1460
06/05/2024 10:15:44,-999,-999,-999,3,4,1460
06/05/2024 10:16:00,-999,1490,-999,3,1,1370
06/05/2024 10:16:16,-999,1490,-999,3,1,1370
06/05/2024 10:16:32,-999,1490,-999,3,1,1340
06/05/2024 10:16:48,-999,1490,-999,3,1,1340
06/05/2024 10:17:04,-999,1490,-999,3,2,1120
06/05/2024 10:17:20,-999,1490,-999,3,2,1120
06/05/2024 10:17:36,-999,1470,-999,3,2,1120
06/05/2024 10:17:52,-999,1470,-999,3,2,1110
06/05/2024 10:18:08,-999,1470,-999,3,2,1110
06/05/2024 10:18:24,-999,1470,-999,3,2,1300
06/05/2024 10:18:40,-999,1490,-999,3,2,1300
06/05/2024 10:18:56,-999,1490,-999,3,1,1470
06/05/2024 10:19:12,-999,1490,-999,3,1,1470
06/05/2024 10:19:28,-999,1490,-999,3,4,1440
