# Time, Layer_QualityIndex,bl_height,Mean_Layer_Height,n_BL,cloud_stat,cloud_dat
08/06/2024 10:00:00,1,1790,2500,3,1,6950
08/06/2024 10:00:16,1,1790,2500,3,1,6940
08/06/2024 10:00:32,1,1790,2500,3,1,6940
08/06/2024 10:00:48,1,1800,2500,3,1,6940
08/06/2024 10:01:04,1,1810,2500,3,1,6940
08/06/2024 10:01:20,1,1820,2500,3,1,6890
08/06/2024 10:01:36,1,1820,2500,3,1,6890
08/06/2024 10:01:52,1,1830,2500,3,1,6880
08/06/2024 10:02:08,1,1830,2500,3,1,6880
08/06/2024 10:02:24,1,1830,2500,3,1,6880
08/06/2024 10:02:40,1,1840,2500,3,1,6970
08/06/2024 10:02:56,1,1850,2500,3,1,6970
08/06/2024 10:03:12,1,1840,2500,3,2,6960
08/06/2024 10:03:28,1,1830,2500,3,2,6960
08/06/2024 10:03:44,1,1860,2500,3,2,6710
08/06/2024 10:04:00,1,1890,2500,3,2,6710
08/06/2024 10:04:16,1,1920,2500,3,1,6710
08/06/2024 10:04:32,1,1910,2500,3,1,6710
08/06/2024 10:04:48,1,1890,2500,3,1,6710
08/06/2024 10:05:04,1,1840,2500,3,1,6690
08/06/2024 10:05:20,1,1790,2500,3,1,6690
08/06/2024 10:05:36,1,1800,2500,3,0,-999
08/06/2024 10:05:52,1,1800,2500,3,0,-999
08/06/2024 10:06:08,1,2230,2500,3,1,2180
08/06/2024 10:06:24,1,2230,2500,3,1,2180
08/06/2024 10:06:40,1,2240,2500,3,1,2160
08/06/2024 10:06:56,1,2240,2500,3,1,2160
08/06/2024 10:07:12,1,2240,2500,3,1,2160
08/06/2024 10:07:28,1,2290,2500,3,0,-999
08/06/2024 10:07:44,1,2290,2500,3,0,-999
08/06/2024 10:08:00,1,1450,2500,3,0,-999
08/06/2024 10:08:16,1,1450,2500,3,0,-999
08/06/2024 10:08:32,1,1580,2500,3,0,-999
08/06/2024 10:08:48,1,1570,2500,3,0,-999
08/06/2024 10:09:04,1,1470,2500,3,0,-999
08/06/2024 10:09:20,1,1450,2500,3,0,-999
08/06/2024 10:09:36,1,1420,2500,3,0,-999
08/06/2024 10:09:52,1,1450,2500,3,1,6670
08/06/2024 10:10:08,1,1590,2500,3,1,6670
08/06/2024 10:10:24,1,1570,2500,3,2,6680
08/06/2024 10:10:40,1,1570,2500,3,2,6680
