# Time, Layer_QualityIndex,bl_height,Mean_Layer_Height,n_BL,cloud_stat,cloud_dat
26/05/2025 10:00:00,3,230,120,3,0,-999
26/05/2025 10:00:16,3,230,120,3,0,-999
26/05/2025 10:00:32,3,230,120,3,0,-999
26/05/2025 10:00:48,3,230,120,3,0,-999
26/05/2025 10:01:04,3,230,120,3,0,-999
26/05/2025 10:01:20,3,230,120,3,0,-999
26/05/2025 10:01:36,3,230,120,3,0,-999
26/05/2025 10:01:52,3,230,120,3,0,-999
26/05/2025 10:02:08,3,230,120,3,0,-999
26/05/2025 10:02:24,3,230,120,3,0,-999
26/05/2025 10:02:40,3,230,120,3,0,-999
26/05/2025 10:02:56,3,230,120,3,0,-999
26/05/2025 10:03:12,3,230,120,3,0,-999
26/05/2025 10:03:28,3,230,120,3,0,-999
26/05/2025 10:03:44,3,230,120,3,0,-999
26/05/2025 10:04:00,3,240,120,3,0,-999
26/05/2025 10:04:16,3,240,120,3,0,-999
26/05/2025 10:04:32,3,240,120,3,0,-999
26/05/2025 10:04:48,3,240,120,3,0,-999
26/05/2025 10:05:04,3,240,120,3,0,-999
26/05/2025 10:05:20,3,250,120,3,0,-999
26/05/2025 10:05:36,3,250,120,3,0,-999
26/05/2025 10:05:52,3,250,120,3,0,-999
26/05/2025 10:06:08,3,260,120,3,0,-999
26/05/2025 10:06:24,3,260,120,3,0,-999
26/05/2025 10:06:40,3,260,120,3,0,-999
26/05/2025 10:06:56,3,270,120,3,0,-999
26/05/2025 10:07:12,3,270,120,3,0,-999
26/05/2025 10:07:28,3,270,120,3,0,-999
26/05/2025 10:07:44,3,270,120,3,0,-999
26/05/2025 10:08:00,3,280,120,3,0,-999
26/05/2025 10:08:16,3,280,120,3,0,-999
26/05/2025 10:08:32,3,280,120,3,0,-999
26/05/2025 10:08:48,3,290,120,3,0,-999
26/05/2025 10:09:04,3,290,120,3,0,-999
26/05/2025 10:09:20,3,290,120,3,0,-999
26/05/2025 10:09:36,3,290,120,3,0,-999
26/05/2025 10:09:52,3,290,120,3,0,-999
26/05/2025 10:10:08,3,300,120,3,0,-999
26/05/2025 10:10:24,3,300,120,3,0,-999
26/05/2025 10:10:40,3,300,120,3,0,-999
26/05/2025 10:10:56,3,300,120,3,0,-999
26/05/2025 10:11:12,3,300,120,3,0,-999
26/05/2025 10:11:28,3,300,120,3,0,-999
26/05/2025 10:11:44,3,310,120,3,0,-999
26/05/2025 10:12:00,3,310,120,3,0,-999
26/05/2025 10:12:16,3,310,120,3,0,-999
26/05/2025 10:12:32,3,310,120,3,0,-999
26/05/2025 10:12:48,3,310,120,3,0,-999
26/05/2025 10:13:04,3,310,120,3,0,-999
26/05/2025 10:13:20,3,310,120,3,0,-999
26/05/2025 10:13:36,3,310,120,3,0,-999
26/05/2025 10:13:52,3,310,120,3,1,12010
26/05/2025 10:14:08,3,320,120,3,1,12010
26/05/2025 10:14:24,3,320,120,3,1,12080
26/05/2025 10:14:40,3,320,120,3,1,12080
26/05/2025 10:14:56,3,320,120,3,1,12100
26/05/2025 10:15:12,3,320,120,3,1,12100
26/05/2025 10:15:28,3,320,120,3,1,12090
26/05/2025 10:15:44,3,320,120,3,1,12090
26/05/2025 10:16:00,3,320,120,3,1,12090
26/05/2025 10:16:16,3,320,120,3,1,12100
26/05/2025 10:16:32,3,320,120,3,1,12100
26/05/2025 10:16:48,3,320,120,3,1,12100
26/05/2025 10:17:04,3,320,120,3,1,12100
26/05/2025 10:17:20,3,320,120,3,1,12090
26/05/2025 10:17:36,3,330,120,3,1,12090
26/05/2025 10:17:52,3,330,120,3,1,12070
26/05/2025 10:18:08,3,330,120,3,1,12070
26/05/2025 10:18:24,3,330,120,3,1,12070
26/05/2025 10:18:40,3,330,120,3,1,12070
26/05/2025 10:18:56,3,340,120,3,1,12070
26/05/2025 10:19:12,3,340,120,3,1,12080
26/05/2025 10:19:28,3,340,120,3,1,12080
26/05/2025 10:19:44,3,340,120,3,1,12080
26/05/2025 10:20:00,3,340,120,3,1,12080
26/05/2025 10:20:16,3,340,120,3,1,12060
26/05/2025 10:20:32,3,340,120,3,1,12060
26/05/2025 10:20:48,3,340,120,3,1,12060
26/05/2025 10:21:04,3,340,120,3,1,12040
26/05/2025 10:21:20,3,350,120,3,1,12040
26/05/2025 10:21:36,3,350,120,3,0,-999
26/05/2025 10:21:52,3,350,120,3,0,-999
26/05/2025 10:22:08,3,350,120,3,0,-999
26/05/2025 10:22:24,3,350,120,3,0,-999
26/05/2025 10:22:40,3,350,120,3,0,-999
26/05/2025 10:22:56,3,350,120,3,0,-999
26/05/2025 10:23:12,3,350,120,3,0,-999
26/05/2025 10:23:28,3,350,120,3,0,-999
26/05/2025 10:23:44,3,350,120,3,0,-999
26/05/2025 10:24:00,3,350,120,3,0,-999
26/05/2025 10:24:16,3,350,120,3,0,-999
26/05/2025 10:24:32,3,350,120,3,0,-999
26/05/2025 10:24:48,3,350,120,3,0,-999
26/05/2025 10:25:04,3,350,120,3,0,-999
26/05/2025 10:25:20,3,350,120,3,0,-999
26/05/2025 10:25:36,3,350,120,3,0,-999
26/05/2025 10:25:52,3,350,120,3,0,-999
26/05/2025 10:26:08,3,350,120,3,0,-999
26/05/2025 10:26:24,3,350,120,3,0,-999
26/05/2025 10:26:40,3,350,120,3,0,-999
26/05/2025 10:26:56,3,350,120,3,1,11910
26/05/2025 10:27:12,3,350,120,3,1,11910
26/05/2025 10:27:28,3,360,120,3,1,11970
26/05/2025 10:27:44,3,360,120,3,1,11970
26/05/2025 10:28:00,3,360,120,3,1,11970
26/05/2025 10:28:16,3,360,120,3,1,11970
26/05/2025 10:28:32,3,360,120,3,1,11970
26/05/2025 10:28:48,3,360,120,3,0,-999
26/05/2025 10:29:04,3,360,120,3,0,-999
26/05/2025 10:29:20,3,360,120,3,1,12210
26/05/2025 10:29:36,3,360,120,3,1,12210
26/05/2025 10:29:52,3,360,120,3,1,12150
26/05/2025 10:30:08,3,370,120,3,1,12150
26/05/2025 10:30:24,3,370,120,3,1,12150
26/05/2025 10:30:40,3,370,120,3,1,12150
26/05/2025 10:30:56,3,370,120,3,1,12150
26/05/2025 10:31:12,3,370,120,3,1,12140
26/05/2025 10:31:28,3,370,120,3,1,12140
26/05/2025 10:31:44,3,370,120,3,1,12150
26/05/2025 10:32:00,3,370,120,3,1,12150
26/05/2025 10:32:16,3,370,120,3,1,12160
26/05/2025 10:32:32,3,370,120,3,1,12160
26/05/2025 10:32:48,3,370,120,3,1,12160
26/05/2025 10:33:04,3,370,120,3,1,12160
26/05/2025 10:33:20,3,370,120,3,1,12160
26/05/2025 10:33:36,3,370,120,3,0,-999
26/05/2025 10:33:52,3,370,120,3,0,-999
26/05/2025 10:34:08,3,370,120,3,0,-999
26/05/2025 10:34:24,3,380,120,3,0,-999
26/05/2025 10:34:40,3,380,120,3,0,-999
26/05/2025 10:34:56,3,380,120,3,0,-999
26/05/2025 10:35:12,3,380,120,3,0,-999
26/05/2025 10:35:28,3,380,120,3,0,-999
26/05/2025 10:35:44,3,380,120,3,0,-999
26/05/2025 10:36:00,3,380,120,3,0,-999
26/05/2025 10:36:16,3,380,120,3,0,-999
26/05/2025 10:36:32,3,580,120,3,0,-999
26/05/2025 10:36:48,3,580,120,3,0,-999
26/05/2025 10:37:04,3,580,120,3,0,-999
26/05/2025 10:37:20,3,580,120,3,0,-999
26/05/2025 10:37:36,3,580,120,3,0,-999
26/05/2025 10:37:52,3,580,120,3,0,-999
26/05/2025 10:38:08,3,580,120,3,0,-999
26/05/2025 10:38:24,3,580,120,3,0,-999
26/05/2025 10:38:40,3,580,120,3,0,-999
26/05/2025 10:38:56,3,580,120,3,0,-999
26/05/2025 10:39:12,3,580,120,3,0,-999
26/05/2025 10:39:28,3,580,120,3,0,-999
26/05/2025 10:39:44,3,580,120,3,0,-999
26/05/2025 10:40:00,3,580,120,3,0,-999
26/05/2025 10:40:16,3,580,120,3,0,-999
26/05/2025 10:40:32,3,580,120,3,0,-999
26/05/2025 10:40:48,3,580,120,3,0,-999
26/05/2025 10:41:04,3,590,120,3,0,-999
26/05/2025 10:41:20,3,590,120,3,0,-999
26/05/2025 10:41:36,3,580,120,3,0,-999
26/05/2025 10:41:52,3,590,120,3,0,-999
26/05/2025 10:42:08,3,590,120,3,0,-999
26/05/2025 10:42:24,3,590,120,3,0,-999
26/05/2025 10:42:40,3,320,120,3,0,-999
26/05/2025 10:42:56,3,320,120,3,0,-999
26/05/2025 10:43:12,3,320,120,3,0,-999
26/05/2025 10:43:28,3,320,120,3,0,-999
26/05/2025 10:43:44,3,320,120,3,1,12220
26/05/2025 10:44:00,3,320,120,3,1,12220
26/05/2025 10:44:16,3,320,120,3,1,12100
26/05/2025 10:44:32,3,320,120,3,1,12100
26/05/2025 10:44:48,3,320,120,3,1,12100
26/05/2025 10:45:04,3,320,120,3,1,12040
26/05/2025 10:45:20,3,330,120,3,1,12040
26/05/2025 10:45:36,3,350,120,3,1,12060
26/05/2025 10:45:52,3,350,120,3,1,12060
26/05/2025 10:46:08,3,350,120,3,1,12150
26/05/2025 10:46:24,3,350,120,3,1,12150
26/05/2025 10:46:40,3,350,120,3,1,12130
26/05/2025 10:46:56,3,350,120,3,1,12130
26/05/2025 10:47:12,3,350,120,3,1,12130
26/05/2025 10:47:28,3,350,120,3,1,12090
26/05/2025 10:47:44,3,350,120,3,1,12090
26/05/2025 10:48:00,3,350,120,3,1,12090
26/05/2025 10:48:16,3,350,120,3,1,12090
26/05/2025 10:48:32,3,350,120,3,1,12090
26/05/2025 10:48:48,3,360,120,3,1,12090
26/05/2025 10:49:04,3,360,120,3,1,12090
26/05/2025 10:49:20,3,360,120,3,1,12090
26/05/2025 10:49:36,3,360,120,3,1,12090
26/05/2025 10:49:52,3,360,120,3,1,12100
26/05/2025 10:50:08,3,360,120,3,1,12100
26/05/2025 10:50:24,3,360,120,3,1,12170
26/05/2025 10:50:40,3,360,120,3,1,12170
26/05/2025 10:50:56,3,360,120,3,1,12170
26/05/2025 10:51:12,3,360,120,3,1,12170
26/05/2025 10:51:28,3,360,120,3,2,12190
26/05/2025 10:51:44,3,360,120,3,2,12190
26/05/2025 10:52:00,3,360,120,3,2,12190
26/05/2025 10:52:16,3,360,120,3,1,12220
26/05/2025 10:52:32,3,360,120,3,1,12220
26/05/2025 10:52:48,3,360,120,3,1,12180
26/05/2025 10:53:04,3,360,120,3,1,12180
26/05/2025 10:53:20,3,360,120,3,2,11830
26/05/2025 10:53:36,3,360,120,3,2,11830
26/05/2025 10:53:52,3,370,120,3,1,12180
26/05/2025 10:54:08,3,370,120,3,1,12180
26/05/2025 10:54:24,3,370,120,3,1,12180
26/05/2025 10:54:40,3,370,120,3,1,12190
26/05/2025 10:54:56,3,370,120,3,1,12190
26/05/2025 10:55:12,3,370,120,3,1,12220
26/05/2025 10:55:28,3,370,120,3,1,12220
26/05/2025 10:55:44,3,370,120,3,1,12380
26/05/2025 10:56:00,3,370,120,3,1,12380
26/05/2025 10:56:16,3,370,120,3,1,12390
26/05/2025 10:56:32,3,370,120,3,1,12390
26/05/2025 10:56:48,3,370,120,3,1,12390
26/05/2025 10:57:04,3,370,120,3,1,12340
26/05/2025 10:57:20,3,370,120,3,1,12340
26/05/2025 10:57:36,3,370,120,3,1,12340
26/05/2025 10:57:52,3,370,120,3,1,12340
26/05/2025 10:58:08,3,370,120,3,1,12340
26/05/2025 10:58:24,3,370,120,3,1,12340
26/05/2025 10:58:40,3,370,120,3,1,12350
26/05/2025 10:58:56,3,380,120,3,1,12350
26/05/2025 10:59:12,3,380,120,3,1,12350
26/05/2025 10:59:28,3,380,120,3,1,12420
26/05/2025 10:59:44,3,380,120,3,1,12420
26/05/2025 11:00:00,2,390,350,3,1,12420
26/05/2025 11:00:16,2,400,350,3,1,12420
26/05/2025 11:00:32,2,410,350,3,1,12380
26/05/2025 11:00:48,2,410,350,3,1,12380
26/05/2025 11:01:04,2,410,350,3,1,12360
26/05/2025 11:01:20,2,410,350,3,1,12360
26/05/2025 11:01:36,2,410,350,3,1,12360
26/05/2025 11:01:52,2,460,350,3,1,12010
26/05/2025 11:02:08,2,460,350,3,1,12010
26/05/2025 11:02:24,2,460,350,3,1,12010
26/05/2025 11:02:40,2,460,350,3,1,12010
26/05/2025 11:02:56,2,460,350,3,1,12540
26/05/2025 11:03:12,2,460,350,3,1,12540
26/05/2025 11:03:28,2,460,350,3,1,12570
26/05/2025 11:03:44,2,470,350,3,1,12570
26/05/2025 11:04:00,2,470,350,3,1,12570
26/05/2025 11:04:16,2,470,350,3,1,12660
26/05/2025 11:04:32,2,470,350,3,1,12660
26/05/2025 11:04:48,2,470,350,3,1,12530
26/05/2025 11:05:04,2,470,350,3,1,12530
26/05/2025 11:05:20,2,470,350,3,1,12540
26/05/2025 11:05:36,2,470,350,3,1,12540
26/05/2025 11:05:52,2,470,350,3,1,12540
26/05/2025 11:06:08,2,470,350,3,1,12540
26/05/2025 11:06:24,2,470,350,3,1,12540
26/05/2025 11:06:40,2,470,350,3,1,12510
26/05/2025 11:06:56,2,470,350,3,1,12510
26/05/2025 11:07:12,2,470,350,3,1,12460
26/05/2025 11:07:28,2,480,350,3,1,12460
26/05/2025 11:07:44,2,480,350,3,1,12450
26/05/2025 11:08:00,2,480,350,3,1,12450
26/05/2025 11:08:16,2,480,350,3,1,12440
26/05/2025 11:08:32,2,490,350,3,1,12440
26/05/2025 11:08:48,2,490,350,3,1,12440
26/05/2025 11:09:04,2,490,350,3,1,12420
26/05/2025 11:09:20,2,490,350,3,1,12420
26/05/2025 11:09:36,2,490,350,3,1,12430
26/05/2025 11:09:52,2,490,350,3,1,12430
26/05/2025 11:10:08,2,490,350,3,2,12260
26/05/2025 11:10:24,2,490,350,3,2,12260
26/05/2025 11:10:40,2,490,350,3,1,12190
26/05/2025 11:10:56,2,490,350,3,1,12190
26/05/2025 11:11:12,2,490,350,3,1,12190
26/05/2025 11:11:28,2,430,350,3,2,11540
26/05/2025 11:11:44,2,430,350,3,2,11540
26/05/2025 11:12:00,2,430,350,3,1,11540
26/05/2025 11:12:16,2,430,350,3,1,11540
26/05/2025 11:12:32,2,430,350,3,1,11540
26/05/2025 11:12:48,2,430,350,3,1,11540
26/05/2025 11:13:04,2,610,350,3,1,11350
26/05/2025 11:13:20,2,610,350,3,1,11350
26/05/2025 11:13:36,2,620,350,3,1,11350
26/05/2025 11:13:52,2,620,350,3,2,11120
26/05/2025 11:14:08,2,610,350,3,2,11120
26/05/2025 11:14:24,2,620,350,3,1,11120
26/05/2025 11:14:40,2,630,350,3,1,11120
26/05/2025 11:14:56,2,630,350,3,2,11290
26/05/2025 11:15:12,2,620,350,3,2,11290
26/05/2025 11:15:28,2,630,350,3,1,12720
26/05/2025 11:15:44,2,630,350,3,1,12720
26/05/2025 11:16:00,2,630,350,3,1,12720
26/05/2025 11:16:16,2,620,350,3,1,12720
26/05/2025 11:16:32,2,620,350,3,1,12720
26/05/2025 11:16:48,2,610,350,3,1,12700
26/05/2025 11:17:04,2,610,350,3,1,12700
26/05/2025 11:17:20,2,610,350,3,1,12680
26/05/2025 11:17:36,2,610,350,3,1,12680
26/05/2025 11:17:52,2,610,350,3,1,12670
26/05/2025 11:18:08,2,610,350,3,1,12670
26/05/2025 11:18:24,2,610,350,3,1,12670
26/05/2025 11:18:40,2,610,350,3,1,12640
26/05/2025 11:18:56,2,610,350,3,1,12640
26/05/2025 11:19:12,2,420,350,3,0,-999
26/05/2025 11:19:28,2,420,350,3,0,-999
26/05/2025 11:19:44,2,410,350,3,0,-999
26/05/2025 11:20:00,2,410,350,3,0,-999
26/05/2025 11:20:16,2,410,350,3,0,-999
26/05/2025 11:20:32,2,410,350,3,0,-999
26/05/2025 11:20:48,2,390,350,3,0,-999
26/05/2025 11:21:04,2,400,350,3,1,10990
26/05/2025 11:21:20,2,400,350,3,1,10990
26/05/2025 11:21:36,2,400,350,3,1,11290
26/05/2025 11:21:52,2,410,350,3,1,11290
26/05/2025 11:22:08,2,410,350,3,1,11290
26/05/2025 11:22:24,2,410,350,3,1,11290
26/05/2025 11:22:40,2,410,350,3,1,11310
26/05/2025 11:22:56,2,490,350,3,1,11310
26/05/2025 11:23:12,2,490,350,3,1,11310
26/05/2025 11:23:28,2,490,350,3,1,11310
26/05/2025 11:23:28,2,490,350,3,1,11310
26/05/2025 11:23:44,2,490,350,3,1,11310
26/05/2025 11:24:00,2,490,350,3,1,11370
26/05/2025 11:24:16,2,490,350,3,1,11370
26/05/2025 11:24:32,2,490,350,3,1,11370
26/05/2025 11:24:48,2,490,350,3,1,11370
26/05/2025 11:25:04,2,490,350,3,2,11370
26/05/2025 11:25:20,2,490,350,3,2,11370
26/05/2025 11:25:36,2,490,350,3,2,11370
26/05/2025 11:25:52,2,490,350,3,1,11710
26/05/2025 11:26:08,2,490,350,3,1,11710
