# Time, Layer_QualityIndex,bl_height,Mean_Layer_Height,n_BL,cloud_stat,cloud_dat
28/11/2024 11:57:41,-999,940,-999,3,1,3210
28/11/2024 11:58:41,-999,950,-999,3,1,3110
28/11/2024 11:59:41,-999,950,-999,3,1,3020
28/11/2024 12:00:41,2,960,950,3,1,3060
28/11/2024 12:01:41,2,960,950,3,1,3070
28/11/2024 12:02:41,2,960,950,3,1,3090
28/11/2024 12:03:41,2,960,950,3,1,3210
28/11/2024 12:04:41,2,960,950,3,1,3170
28/11/2024 12:05:41,2,960,950,3,1,3010
28/11/2024 12:06:41,2,960,950,3,1,2890
28/11/2024 12:07:41,2,960,950,3,1,2870
28/11/2024 12:08:41,2,960,950,3,1,2880
28/11/2024 12:09:41,2,960,950,3,1,2880
28/11/2024 12:10:41,2,960,950,3,1,2880
28/11/2024 12:11:41,2,960,950,3,1,2890
28/11/2024 12:12:41,2,960,950,3,1,2880
28/11/2024 12:13:41,2,960,950,3,1,3040
28/11/2024 12:14:41,2,960,950,3,1,3030
28/11/2024 12:15:41,2,960,950,3,1,3200
28/11/2024 12:16:41,2,960,950,3,1,3160
28/11/2024 12:17:41,2,960,950,3,1,3180
28/11/2024 12:18:41,2,960,950,3,1,3010
28/11/2024 12:19:41,2,960,950,3,1,2990
28/11/2024 12:20:41,2,950,950,3,1,3010
28/11/2024 12:21:41,2,950,950,3,1,3030
28/11/2024 12:22:41,2,950,950,3,1,3020
28/11/2024 12:23:41,2,950,950,3,1,3010
28/11/2024 12:24:41,2,950,950,3,1,3010
28/11/2024 12:25:41,2,950,950,3,1,3430
28/11/2024 12:26:41,2,940,950,3,2,3550
28/11/2024 12:27:41,2,940,950,3,2,2980
28/11/2024 12:28:41,2,2240,950,3,1,5700
28/11/2024 12:29:41,2,2240,950,3,1,6040
28/11/2024 12:30:41,2,2240,950,3,1,6010
28/11/2024 12:31:41,2,2240,950,3,1,5660
28/11/2024 12:32:41,2,940,950,3,1,3280
28/11/2024 12:33:41,2,940,950,3,1,3330
28/11/2024 12:34:41,2,940,950,3,1,3320
28/11/2024 12:35:41,2,940,950,3,1,3290
28/11/2024 12:36:41,2,940,950,3,1,3260
28/11/2024 12:37:41,2,940,950,3,1,3260
28/11/2024 12:38:41,2,940,950,3,1,3260
28/11/2024 12:39:41,2,2250,950,3,1,4090
28/11/2024 12:40:41,2,2250,950,3,1,4150
28/11/2024 12:41:41,2,940,950,3,1,3410
28/11/2024 12:42:41,2,940,950,3,3,3700
28/11/2024 12:43:41,2,940,950,3,2,3290
28/11/2024 12:44:41,2,930,950,3,1,3340
28/11/2024 12:45:41,2,940,950,3,1,3390
28/11/2024 12:46:41,2,3570,950,3,1,3370
28/11/2024 12:47:41,2,3600,950,3,1,3590
28/11/2024 12:48:41,2,3600,950,3,1,3620
28/11/2024 12:49:41,2,3600,950,3,1,3420
28/11/2024 12:50:41,2,3760,950,3,1,3270
28/11/2024 12:51:41,2,-999,950,3,1,3310
28/11/2024 12:52:41,2,-999,950,3,1,3340
28/11/2024 12:53:41,2,-999,950,3,1,3450
28/11/2024 12:54:41,2,-999,950,3,1,3650
28/11/2024 12:55:41,2,-999,950,3,1,3480
28/11/2024 12:56:41,2,-999,950,3,1,3460
28/11/2024 12:57:41,2,-999,950,3,1,3440
28/11/2024 12:58:41,2,3560,950,3,3,3410
28/11/2024 12:59:41,2,2310,950,3,1,4650
28/11/2024 13:00:41,2,2320,960,3,1,4480
28/11/2024 13:01:41,2,-999,960,3,2,3860
28/11/2024 13:02:41,2,2350,960,3,2,4830
28/11/2024 13:03:41,2,-999,960,3,2,3860
28/11/2024 13:04:41,2,2370,960,3,1,4810
28/11/2024 13:05:41,2,2370,960,3,0,-999
28/11/2024 13:06:41,2,-999,960,3,1,3430
28/11/2024 13:07:41,2,-999,960,3,1,3540
28/11/2024 13:08:41,2,2370,960,3,2,4550
28/11/2024 13:09:41,2,2370,960,3,1,4460
28/11/2024 13:10:41,2,2370,960,3,1,4540
28/11/2024 13:11:41,2,3710,960,3,2,3130
28/11/2024 13:12:41,2,-999,960,3,1,3500
28/11/2024 13:13:41,2,3300,960,3,2,3510
28/11/2024 13:14:41,2,3300,960,3,3,3100
28/11/2024 13:15:41,2,-999,960,3,2,3100
28/11/2024 13:16:41,2,3170,960,3,2,3050
28/11/2024 13:17:41,2,-999,960,3,2,2930
28/11/2024 13:18:41,2,-999,960,3,2,6560
28/11/2024 13:19:41,2,870,960,3,1,6930
28/11/2024 13:20:41,2,2860,960,3,1,6560
28/11/2024 13:21:41,2,2820,960,3,1,6820
28/11/2024 13:22:41,2,2820,960,3,1,6740
28/11/2024 13:23:41,2,2820,960,3,1,6510
28/11/2024 13:24:41,2,2820,960,3,1,6540
28/11/2024 13:25:41,2,2710,960,3,2,4530
28/11/2024 13:26:41,2,2700,960,3,2,4460
28/11/2024 13:27:41,2,3460,960,3,2,4300
28/11/2024 13:28:41,2,3390,960,3,1,4710
28/11/2024 13:29:41,2,-999,960,3,2,2990
28/11/2024 13:30:41,2,2460,960,3,2,4620
28/11/2024 13:31:41,2,-999,960,3,2,4600
28/11/2024 13:32:41,2,3330,960,3,1,3640
28/11/2024 13:33:41,2,3780,960,3,1,3420
28/11/2024 13:34:41,2,3040,960,3,3,3220
28/11/2024 13:35:41,2,-999,960,3,2,4590
28/11/2024 13:36:41,2,-999,960,3,1,4530
28/11/2024 13:37:41,2,-999,960,3,1,4450
28/11/2024 13:38:41,2,880,960,3,1,4430
28/11/2024 13:39:41,2,900,960,3,1,8040
28/11/2024 13:40:41,2,2700,960,3,1,4430
28/11/2024 13:41:41,2,2710,960,3,2,4440
28/11/2024 13:42:41,2,2810,960,3,1,4650
28/11/2024 13:43:41,2,2710,960,3,1,4300
28/11/2024 13:44:41,2,2710,960,3,1,4230
28/11/2024 13:45:41,2,2710,960,3,0,-999
28/11/2024 13:46:41,2,2820,960,3,1,8620
28/11/2024 13:47:41,2,2810,960,3,1,7760
28/11/2024 13:48:41,2,2810,960,3,1,4230
28/11/2024 13:49:41,2,2810,960,3,1,4220
28/11/2024 13:50:41,2,2810,960,3,1,4190
28/11/2024 13:51:41,2,2810,960,3,2,4180
28/11/2024 13:52:41,2,2810,960,3,1,4390
28/11/2024 13:53:41,2,2810,960,3,2,4230
28/11/2024 13:54:41,2,2820,960,3,1,4380
28/11/2024 13:55:41,2,2810,960,3,2,4290
28/11/2024 13:56:41,2,2810,960,3,1,8490
28/11/2024 13:57:41,2,2810,960,3,1,8470
28/11/2024 13:58:41,2,2810,960,3,0,-999
28/11/2024 13:59:41,2,2810,960,3,0,-999
28/11/2024 14:00:41,2,2820,2810,3,1,8470
28/11/2024 14:01:41,2,2820,2810,3,0,-999
28/11/2024 14:02:41,2,3790,2810,3,2,3940
28/11/2024 14:03:41,2,2820,2810,3,1,8150
28/11/2024 14:04:41,2,2820,2810,3,2,8140
28/11/2024 14:05:41,2,2820,2810,3,1,9440
28/11/2024 14:06:41,2,2830,2810,3,1,9380
28/11/2024 14:07:41,2,2830,2810,3,0,-999
28/11/2024 14:08:41,2,2830,2810,3,1,8130
28/11/2024 14:09:41,2,2830,2810,3,1,7840
28/11/2024 14:10:41,2,2830,2810,3,2,4420
28/11/2024 14:11:41,2,2830,2810,3,1,4350
28/11/2024 14:12:41,2,2830,2810,3,1,4320
28/11/2024 14:13:41,2,2840,2810,3,1,4270
28/11/2024 14:14:41,2,2900,2810,3,1,4120
28/11/2024 14:15:41,2,2900,2810,3,1,5030
28/11/2024 14:16:41,2,2820,2810,3,0,-999
28/11/2024 14:17:41,2,2840,2810,3,3,4230
28/11/2024 14:18:41,2,2840,2810,3,2,4260
28/11/2024 14:19:41,2,2840,2810,3,1,4240
28/11/2024 14:20:41,2,2830,2810,3,1,4200
28/11/2024 14:21:41,2,2830,2810,3,2,4260
28/11/2024 14:22:41,2,2830,2810,3,1,4160
28/11/2024 14:23:41,2,2830,2810,3,2,4160
28/11/2024 14:24:41,2,2830,2810,3,1,4090
28/11/2024 14:25:41,2,2830,2810,3,2,4090
28/11/2024 14:26:41,2,2830,2810,3,2,4250
28/11/2024 14:27:41,2,2830,2810,3,2,4290
28/11/2024 14:28:41,2,2830,2810,3,1,4200
28/11/2024 14:29:41,2,2830,2810,3,2,4280
28/11/2024 14:30:41,2,2830,2810,3,1,6610
28/11/2024 14:31:41,2,2830,2810,3,1,6600
28/11/2024 14:32:41,2,2830,2810,3,1,6600
28/11/2024 14:33:41,2,2690,2810,3,1,6610
28/11/2024 14:34:41,2,2690,2810,3,1,6670
28/11/2024 14:35:41,2,2690,2810,3,3,6560
28/11/2024 14:36:41,2,200,2810,3,1,6610
28/11/2024 14:37:41,2,190,2810,3,1,6550
28/11/2024 14:38:41,2,2690,2810,3,1,6610
28/11/2024 14:39:41,2,2690,2810,3,0,-999
28/11/2024 14:40:41,2,2690,2810,3,1,6540
28/11/2024 14:41:41,2,2680,2810,3,1,6540
28/11/2024 14:42:41,2,2680,2810,3,1,6530
28/11/2024 14:43:41,2,2680,2810,3,1,7320
28/11/2024 14:44:41,2,2680,2810,3,1,6570
28/11/2024 14:45:41,2,2680,2810,3,1,6900
28/11/2024 14:46:41,2,2680,2810,3,1,5650
28/11/2024 14:47:41,2,2680,2810,3,2,5590
28/11/2024 14:48:41,2,2680,2810,3,1,5640
28/11/2024 14:49:41,2,2680,2810,3,2,5590
28/11/2024 14:50:41,2,2680,2810,3,1,6760
28/11/2024 14:51:41,2,2680,2810,3,1,6970
28/11/2024 14:52:41,2,2670,2810,3,1,6950
28/11/2024 14:53:41,2,2670,2810,3,1,7140
28/11/2024 14:54:41,2,2670,2810,3,1,6610
28/11/2024 14:55:41,2,2670,2810,3,1,6610
28/11/2024 14:56:41,2,2670,2810,3,1,7010
28/11/2024 14:57:41,2,2670,2810,3,1,7050
28/11/2024 14:58:41,2,2670,2810,3,1,7100
28/11/2024 14:59:41,2,2670,2810,3,3,4760
28/11/2024 15:00:41,2,-999,2690,3,2,5130
28/11/2024 15:01:41,2,-999,2690,3,1,5130
28/11/2024 15:02:41,2,3360,2690,3,2,4260
28/11/2024 15:03:41,2,3400,2690,3,2,4270
28/11/2024 15:04:41,2,3280,2690,3,2,4210
28/11/2024 15:05:41,2,3240,2690,3,2,4100
28/11/2024 15:06:41,2,3270,2690,3,2,4090
28/11/2024 15:07:41,2,3260,2690,3,2,4090
28/11/2024 15:08:41,2,-999,2690,3,1,6470
28/11/2024 15:09:41,2,-999,2690,3,1,6540
28/11/2024 15:10:41,2,230,2690,3,2,4070
28/11/2024 15:11:41,2,2670,2690,3,2,4460
28/11/2024 15:12:41,2,2670,2690,3,2,4420
28/11/2024 15:13:41,2,2670,2690,3,2,4430
28/11/2024 15:14:41,2,190,2690,3,2,4430
28/11/2024 15:15:41,2,3380,2690,3,2,4360
28/11/2024 15:16:41,2,3410,2690,3,2,4250
28/11/2024 15:17:41,2,3340,2690,3,2,4250
28/11/2024 15:18:41,2,3420,2690,3,2,4250
28/11/2024 15:19:41,2,3210,2690,3,2,4210
28/11/2024 15:20:41,2,3170,2690,3,1,5920
28/11/2024 15:21:41,2,3250,2690,3,1,5880
28/11/2024 15:22:41,2,2970,2690,3,1,5610
28/11/2024 15:23:41,2,1450,2690,3,2,3960
28/11/2024 15:24:41,2,1450,2690,3,2,3920
28/11/2024 15:25:41,2,3360,2690,3,1,5240
28/11/2024 15:26:41,2,1450,2690,3,2,3740
28/11/2024 15:27:41,2,1450,2690,3,2,3770
28/11/2024 15:28:41,2,-999,2690,3,2,4290
28/11/2024 15:29:41,2,1220,2690,3,1,4210
28/11/2024 15:30:41,2,-999,2690,3,1,4270
28/11/2024 15:31:41,2,-999,2690,3,1,4240
28/11/2024 15:32:41,2,1140,2690,3,1,4000
28/11/2024 15:33:41,2,-999,2690,3,1,4020
28/11/2024 15:34:41,2,1970,2690,3,1,4350
28/11/2024 15:35:41,2,1480,2690,3,1,4320
28/11/2024 15:36:41,2,-999,2690,3,1,4280
28/11/2024 15:37:41,2,-999,2690,3,1,4400
28/11/2024 15:38:41,2,3140,2690,3,1,3800
28/11/2024 15:39:41,2,3170,2690,3,1,3870
28/11/2024 15:40:41,2,3170,2690,3,1,3970
28/11/2024 15:41:41,2,3170,2690,3,1,3690
28/11/2024 15:42:41,2,-999,2690,3,4,-999
28/11/2024 15:43:41,2,-999,2690,3,4,-999
28/11/2024 15:44:41,2,-999,2690,3,4,-999
28/11/2024 15:45:41,2,-999,2690,3,4,-999
28/11/2024 15:46:41,2,-999,2690,3,4,-999
28/11/2024 15:47:41,2,-999,2690,3,4,-999
28/11/2024 15:48:41,2,-999,2690,3,4,-999
28/11/2024 15:49:41,2,-999,2690,3,4,-999
28/11/2024 15:50:41,2,-999,2690,3,4,-999
28/11/2024 15:51:41,2,-999,2690,3,4,-999
28/11/2024 15:52:41,2,-999,2690,3,4,-999
