# Time, Layer_QualityIndex,bl_height,Mean_Layer_Height,n_BL,cloud_stat,cloud_dat
21/01/2025 11:56:40,-999,580,-999,3,0,-999
21/01/2025 11:57:40,-999,580,-999,3,1,9620
21/01/2025 11:58:40,-999,580,-999,3,2,9630
21/01/2025 11:59:40,-999,580,-999,3,1,11160
21/01/2025 12:00:40,3,580,580,3,1,11180
21/01/2025 12:01:40,3,580,580,3,1,11180
21/01/2025 12:02:40,3,590,580,3,1,11180
21/01/2025 12:03:40,3,580,580,3,0,-999
21/01/2025 12:04:40,3,580,580,3,0,-999
21/01/2025 12:05:40,3,580,580,3,0,-999
21/01/2025 12:06:40,3,590,580,3,0,-999
21/01/2025 12:07:40,3,590,580,3,1,10960
21/01/2025 12:08:40,3,590,580,3,0,-999
21/01/2025 12:09:40,3,590,580,3,0,-999
21/01/2025 12:10:40,3,590,580,3,0,-999
21/01/2025 12:11:40,3,590,580,3,0,-999
21/01/2025 12:12:40,3,590,580,3,0,-999
21/01/2025 12:13:40,3,590,580,3,0,-999
21/01/2025 12:14:40,3,590,580,3,0,-999
21/01/2025 12:15:40,3,590,580,3,0,-999
21/01/2025 12:16:40,3,590,580,3,1,10270
21/01/2025 12:17:40,3,590,580,3,1,10260
21/01/2025 12:18:40,3,590,580,3,1,10240
21/01/2025 12:19:40,3,590,580,3,1,10240
21/01/2025 12:20:40,3,600,580,3,1,10240
21/01/2025 12:21:40,3,600,580,3,0,-999
21/01/2025 12:22:40,3,600,580,3,1,9600
21/01/2025 12:23:40,3,600,580,3,1,9600
21/01/2025 12:24:40,3,610,580,3,1,9600
21/01/2025 12:25:40,3,610,580,3,1,9390
21/01/2025 12:26:40,3,610,580,3,1,9390
21/01/2025 12:27:40,3,620,580,3,2,9250
21/01/2025 12:28:40,3,620,580,3,1,9210
21/01/2025 12:29:40,3,620,580,3,0,-999
21/01/2025 12:30:40,3,620,580,3,1,9080
21/01/2025 12:31:40,3,620,580,3,1,9080
21/01/2025 12:32:40,3,620,580,3,1,9030
21/01/2025 12:33:40,3,620,580,3,1,8810
21/01/2025 12:34:40,3,630,580,3,1,8810
21/01/2025 12:35:40,3,630,580,3,0,-999
21/01/2025 12:36:40,3,630,580,3,1,8830
21/01/2025 12:37:40,3,630,580,3,2,8810
21/01/2025 12:38:40,3,630,580,3,1,9600
21/01/2025 12:39:40,3,630,580,3,0,-999
21/01/2025 12:40:40,3,630,580,3,0,-999
21/01/2025 12:41:40,3,630,580,3,0,-999
21/01/2025 12:42:40,3,630,580,3,0,-999
21/01/2025 12:43:40,3,640,580,3,0,-999
21/01/2025 12:44:40,3,640,580,3,0,-999
21/01/2025 12:45:40,3,640,580,3,1,8790
21/01/2025 12:46:40,3,640,580,3,1,8790
21/01/2025 12:47:40,3,640,580,3,0,-999
21/01/2025 12:48:40,3,650,580,3,0,-999
21/01/2025 12:49:40,3,650,580,3,0,-999
21/01/2025 12:50:40,3,650,580,3,0,-999
21/01/2025 12:51:40,3,650,580,3,1,8370
21/01/2025 12:52:40,3,650,580,3,0,-999
21/01/2025 12:53:40,3,660,580,3,0,-999
21/01/2025 12:54:40,3,660,580,3,1,9120
21/01/2025 12:55:40,3,660,580,3,1,9120
21/01/2025 12:56:40,3,660,580,3,0,-999
21/01/2025 12:57:40,3,660,580,3,0,-999
21/01/2025 12:58:40,3,660,580,3,0,-999
21/01/2025 12:59:40,3,670,580,3,0,-999
21/01/2025 13:00:40,3,680,620,3,0,-999
21/01/2025 13:01:40,3,680,620,3,0,-999
21/01/2025 13:02:40,3,680,620,3,0,-999
21/01/2025 13:03:40,3,680,620,3,0,-999
21/01/2025 13:04:40,3,680,620,3,1,9100
21/01/2025 13:05:40,3,690,620,3,1,8200
21/01/2025 13:06:40,3,690,620,3,0,-999
21/01/2025 13:07:40,3,700,620,3,0,-999
21/01/2025 13:08:40,3,700,620,3,0,-999
21/01/2025 13:09:40,3,710,620,3,0,-999
21/01/2025 13:10:40,3,710,620,3,1,6810
21/01/2025 13:11:40,3,710,620,3,1,6800
21/01/2025 13:12:40,3,720,620,3,1,6800
21/01/2025 13:13:40,3,720,620,3,2,6800
21/01/2025 13:14:40,3,730,620,3,2,6800
21/01/2025 13:15:40,3,730,620,3,2,6800
21/01/2025 13:16:40,3,740,620,3,2,6790
21/01/2025 13:17:40,3,740,620,3,2,8990
21/01/2025 13:18:40,3,740,620,3,1,9010
21/01/2025 13:19:40,3,750,620,3,2,9000
21/01/2025 13:20:40,3,750,620,3,1,8850
21/01/2025 13:21:40,3,750,620,3,0,-999
21/01/2025 13:22:40,3,750,620,3,0,-999
21/01/2025 13:23:40,3,750,620,3,0,-999
21/01/2025 13:24:40,3,760,620,3,0,-999
21/01/2025 13:25:40,3,770,620,3,1,8280
21/01/2025 13:26:40,3,780,620,3,1,8280
21/01/2025 13:27:40,3,780,620,3,0,-999
21/01/2025 13:28:40,3,780,620,3,0,-999
21/01/2025 13:29:40,3,780,620,3,1,7870
21/01/2025 13:30:40,3,780,620,3,1,7830
21/01/2025 13:31:40,3,790,620,3,1,7790
21/01/2025 13:32:40,3,800,620,3,1,7690
21/01/2025 13:33:40,3,810,620,3,1,7690
21/01/2025 13:34:40,3,810,620,3,1,7600
21/01/2025 13:35:40,3,810,620,3,1,7600
21/01/2025 13:36:40,3,810,620,3,1,7380
21/01/2025 13:37:40,3,810,620,3,1,7350
21/01/2025 13:38:40,3,820,620,3,1,7300
21/01/2025 13:39:40,3,820,620,3,1,7300
21/01/2025 13:40:40,3,830,620,3,0,-999
21/01/2025 13:41:40,3,830,620,3,0,-999
21/01/2025 13:42:40,3,840,620,3,0,-999
21/01/2025 13:43:40,3,850,620,3,0,-999
21/01/2025 13:44:40,3,860,620,3,0,-999
21/01/2025 13:45:40,3,860,620,3,0,-999
21/01/2025 13:46:40,3,870,620,3,1,8570
21/01/2025 13:47:40,3,860,620,3,1,7070
21/01/2025 13:48:40,3,860,620,3,0,-999
21/01/2025 13:49:40,3,860,620,3,0,-999
21/01/2025 13:50:40,3,860,620,3,0,-999
21/01/2025 13:51:40,3,850,620,3,0,-999
21/01/2025 13:52:40,3,870,620,3,0,-999
21/01/2025 13:53:40,3,860,620,3,0,-999
21/01/2025 13:54:40,3,880,620,3,0,-999
21/01/2025 13:55:40,3,880,620,3,1,10910
21/01/2025 13:56:40,3,880,620,3,1,10910
21/01/2025 13:57:40,3,880,620,3,0,-999
21/01/2025 13:58:40,3,910,620,3,0,-999
21/01/2025 13:59:40,3,930,620,3,0,-999
21/01/2025 14:00:40,3,940,750,3,0,-999
21/01/2025 14:01:40,3,930,750,3,1,10350
21/01/2025 14:02:40,3,940,750,3,0,-999
21/01/2025 14:03:40,3,950,750,3,0,-999
21/01/2025 14:04:40,3,970,750,3,1,8310
21/01/2025 14:05:40,3,980,750,3,1,8050
21/01/2025 14:06:40,3,980,750,3,1,8010
21/01/2025 14:07:40,3,990,750,3,0,-999
21/01/2025 14:08:40,3,990,750,3,0,-999
21/01/2025 14:09:40,3,980,750,3,1,6160
21/01/2025 14:10:40,3,990,750,3,1,6180
21/01/2025 14:11:40,3,990,750,3,1,6220
21/01/2025 14:12:40,3,990,750,3,1,6230
21/01/2025 14:13:40,3,990,750,3,0,-999
21/01/2025 14:14:40,3,990,750,3,0,-999
21/01/2025 14:15:40,3,990,750,3,0,-999
21/01/2025 14:16:40,3,990,750,3,0,-999
21/01/2025 14:17:40,3,990,750,3,0,-999
21/01/2025 14:18:40,3,990,750,3,1,7860
21/01/2025 14:19:40,3,990,750,3,1,7860
21/01/2025 14:20:40,3,990,750,3,1,7460
21/01/2025 14:21:40,3,990,750,3,1,7430
21/01/2025 14:22:40,3,990,750,3,1,7690
21/01/2025 14:23:40,3,990,750,3,1,7640
21/01/2025 14:24:40,3,990,750,3,1,7520
21/01/2025 14:25:40,3,990,750,3,1,7460
21/01/2025 14:26:40,3,990,750,3,0,-999
21/01/2025 14:27:40,3,990,750,3,0,-999
21/01/2025 14:28:40,3,990,750,3,0,-999
21/01/2025 14:29:40,3,990,750,3,0,-999
21/01/2025 14:30:40,3,990,750,3,0,-999
21/01/2025 14:31:40,3,990,750,3,0,-999
21/01/2025 14:32:40,3,990,750,3,0,-999
21/01/2025 14:33:40,3,990,750,3,0,-999
21/01/2025 14:34:40,3,990,750,3,0,-999
21/01/2025 14:35:40,3,990,750,3,0,-999
21/01/2025 14:36:40,3,990,750,3,0,-999
21/01/2025 14:37:40,3,990,750,3,0,-999
21/01/2025 14:38:40,3,990,750,3,0,-999
21/01/2025 14:39:40,3,990,750,3,0,-999
21/01/2025 14:40:40,3,990,750,3,0,-999
21/01/2025 14:41:40,3,990,750,3,0,-999
21/01/2025 14:42:40,3,990,750,3,0,-999
21/01/2025 14:43:40,3,990,750,3,0,-999
21/01/2025 14:44:40,3,990,750,3,0,-999
21/01/2025 14:45:40,3,990,750,3,0,-999
21/01/2025 14:46:40,3,990,750,3,0,-999
21/01/2025 14:47:40,3,990,750,3,0,-999
21/01/2025 14:48:40,3,990,750,3,0,-999
21/01/2025 14:49:40,3,990,750,3,0,-999
21/01/2025 14:50:40,3,990,750,3,0,-999
21/01/2025 14:51:40,3,990,750,3,1,7900
21/01/2025 14:52:40,3,990,750,3,1,7900
21/01/2025 14:53:40,3,990,750,3,0,-999
21/01/2025 14:54:40,3,990,750,3,0,-999
21/01/2025 14:55:40,3,990,750,3,0,-999
21/01/2025 14:56:40,3,990,750,3,0,-999
21/01/2025 14:57:40,3,990,750,3,0,-999
21/01/2025 14:58:40,3,990,750,3,0,-999
21/01/2025 14:59:40,3,990,750,3,0,-999
21/01/2025 15:00:40,-999,990,-999,3,0,-999
21/01/2025 15:01:40,-999,990,-999,3,0,-999
21/01/2025 15:02:40,-999,990,-999,3,0,-999
21/01/2025 15:03:40,-999,990,-999,3,0,-999
21/01/2025 15:04:40,-999,990,-999,3,0,-999
21/01/2025 15:05:40,-999,990,-999,3,0,-999
21/01/2025 15:06:40,-999,990,-999,3,0,-999
21/01/2025 15:07:40,-999,990,-999,3,0,-999
21/01/2025 15:08:40,-999,990,-999,3,0,-999
21/01/2025 15:09:40,-999,990,-999,3,0,-999
21/01/2025 15:10:40,-999,990,-999,3,0,-999
21/01/2025 15:11:40,-999,990,-999,3,0,-999
21/01/2025 15:12:40,-999,990,-999,3,0,-999
21/01/2025 15:13:40,-999,990,-999,3,0,-999
21/01/2025 15:14:40,-999,990,-999,3,0,-999
21/01/2025 15:15:40,-999,990,-999,3,1,7090
21/01/2025 15:16:40,-999,990,-999,3,1,7110
21/01/2025 15:17:40,-999,990,-999,3,1,7100
21/01/2025 15:18:40,-999,990,-999,3,0,-999
21/01/2025 15:19:40,-999,990,-999,3,0,-999
21/01/2025 15:20:40,-999,990,-999,3,1,7190
21/01/2025 15:21:40,-999,990,-999,3,1,7160
21/01/2025 15:22:40,-999,990,-999,3,0,-999
21/01/2025 15:23:40,-999,990,-999,3,0,-999
21/01/2025 15:24:40,-999,990,-999,3,0,-999
21/01/2025 15:25:40,-999,990,-999,3,0,-999
21/01/2025 15:26:40,-999,990,-999,3,0,-999
21/01/2025 15:27:40,-999,990,-999,3,0,-999
21/01/2025 15:28:40,-999,990,-999,3,2,6770
21/01/2025 15:29:40,-999,970,-999,3,2,6770
