# Time, Layer_QualityIndex,bl_height,Mean_Layer_Height,n_BL,cloud_stat,cloud_dat
20/07/2021 10:00:00,2,860,950,3,1,5050
20/07/2021 10:00:16,2,860,950,3,1,5050
20/07/2021 10:00:32,2,860,950,3,1,5050
20/07/2021 10:00:48,2,850,950,3,1,5060
20/07/2021 10:01:04,2,850,950,3,1,5060
20/07/2021 10:01:20,2,850,950,3,1,5080
20/07/2021 10:01:36,2,850,950,3,1,5080
20/07/2021 10:01:52,2,840,950,3,1,5100
20/07/2021 10:02:08,2,850,950,3,1,5100
20/07/2021 10:02:24,2,850,950,3,1,5100
20/07/2021 10:02:40,2,-999,950,3,2,3620
20/07/2021 10:02:56,2,-999,950,3,2,3620
20/07/2021 10:03:12,2,-999,950,3,2,3620
20/07/2021 10:03:28,2,-999,950,3,2,3620
20/07/2021 10:03:44,2,-999,950,3,2,3650
20/07/2021 10:04:00,2,-999,950,3,2,3650
20/07/2021 10:04:16,2,-999,950,3,1,3680
20/07/2021 10:04:32,2,-999,950,3,1,3680
20/07/2021 10:04:48,2,-999,950,3,1,3680
20/07/2021 10:05:04,2,-999,950,3,1,3680
20/07/2021 10:05:20,2,-999,950,3,1,3680
20/07/2021 10:05:36,2,3790,950,3,1,3660
20/07/2021 10:05:52,2,3790,950,3,1,3660
20/07/2021 10:06:08,2,3790,950,3,1,3650
20/07/2021 10:06:24,2,3790,950,3,1,3650
20/07/2021 10:06:40,2,3790,950,3,1,3630
20/07/2021 10:06:56,2,3810,950,3,1,3630
20/07/2021 10:07:12,2,3810,950,3,1,3630
20/07/2021 10:07:28,2,3840,950,3,1,3640
20/07/2021 10:07:44,2,3840,950,3,1,3640
20/07/2021 10:08:00,2,3850,950,3,1,3650
20/07/2021 10:08:16,2,3850,950,3,1,3650
20/07/2021 10:08:32,2,3850,950,3,1,3660
20/07/2021 10:08:48,2,3850,950,3,1,3660
20/07/2021 10:09:04,2,3850,950,3,1,3650
20/07/2021 10:09:20,2,3810,950,3,1,3650
20/07/2021 10:09:36,2,3810,950,3,1,3650
20/07/2021 10:09:52,2,3810,950,3,1,3630
20/07/2021 10:10:08,2,3810,950,3,1,3630
20/07/2021 10:10:24,2,3810,950,3,1,3580
20/07/2021 10:10:40,2,3810,950,3,1,3580
20/07/2021 10:10:56,2,3810,950,3,1,3560
20/07/2021 10:11:12,2,3810,950,3,1,3560
20/07/2021 10:11:28,2,490,950,3,0,-999
20/07/2021 10:11:44,2,490,950,3,0,-999
20/07/2021 10:12:00,2,500,950,3,0,-999
20/07/2021 10:12:16,2,900,950,3,0,-999
20/07/2021 10:12:32,2,900,950,3,0,-999
20/07/2021 10:12:48,2,900,950,3,0,-999
20/07/2021 10:13:04,2,900,950,3,0,-999
20/07/2021 10:13:20,2,830,950,3,0,-999
20/07/2021 10:13:36,2,860,950,3,0,-999
20/07/2021 10:13:52,2,920,950,3,0,-999
20/07/2021 10:14:08,2,920,950,3,0,-999
20/07/2021 10:14:24,2,930,950,3,0,-999
20/07/2021 10:14:40,2,920,950,3,0,-999
20/07/2021 10:14:56,2,920,950,3,0,-999
20/07/2021 10:15:12,2,920,950,3,0,-999
