# Time, Layer_QualityIndex,bl_height,Mean_Layer_Height,n_BL,cloud_stat,cloud_dat
11/02/2024 11:00:00,-999,1540,-999,3,1,1420
11/02/2024 11:00:16,-999,1540,-999,3,1,1420
11/02/2024 11:00:32,-999,1560,-999,3,1,1470
11/02/2024 11:00:48,-999,1560,-999,3,1,1470
11/02/2024 11:01:04,-999,1560,-999,3,1,1380
11/02/2024 11:01:20,-999,1560,-999,3,1,1380
11/02/2024 11:01:36,-999,1560,-999,3,1,1380
11/02/2024 11:01:52,-999,1560,-999,3,1,1370
11/02/2024 11:02:08,-999,1560,-999,3,1,1370
11/02/2024 11:02:24,-999,1540,-999,3,1,1440
11/02/2024 11:02:40,-999,1540,-999,3,1,1440
11/02/2024 11:02:56,-999,1540,-999,3,1,1420
11/02/2024 11:03:12,-999,1540,-999,3,1,1420
11/02/2024 11:03:28,-999,1540,-999,3,1,1430
11/02/2024 11:03:44,-999,1540,-999,3,1,1430
11/02/2024 11:04:00,-999,1540,-999,3,1,1430
11/02/2024 11:04:16,-999,1540,-999,3,1,1430
11/02/2024 11:04:32,-999,1540,-999,3,1,1430
11/02/2024 11:04:48,-999,1540,-999,3,1,1430
11/02/2024 11:05:04,-999,1540,-999,3,1,1430
11/02/2024 11:05:20,-999,1540,-999,3,1,1480
11/02/2024 11:05:36,-999,1540,-999,3,1,1480
11/02/2024 11:05:52,-999,1540,-999,3,1,1510
11/02/2024 11:06:08,-999,1540,-999,3,1,1510
11/02/2024 11:06:24,-999,1540,-999,3,1,1510
11/02/2024 11:06:40,-999,1570,-999,3,1,1510
11/02/2024 11:06:56,-999,1570,-999,3,1,1510
11/02/2024 11:07:12,-999,1600,-999,3,1,1500
11/02/2024 11:07:28,-999,1600,-999,3,1,1500
11/02/2024 11:07:44,-999,1600,-999,3,1,1510
11/02/2024 11:08:00,-999,1600,-999,3,1,1510
11/02/2024 11:08:16,-999,1600,-999,3,1,1470
11/02/2024 11:08:32,-999,1600,-999,3,1,1470
11/02/2024 11:08:48,-999,1600,-999,3,1,1470
11/02/2024 11:09:04,-999,1600,-999,3,1,1460
11/02/2024 11:09:20,-999,1600,-999,3,1,1460
