# Time, Layer_QualityIndex,bl_height,Mean_Layer_Height,n_BL,cloud_stat,cloud_dat
19/07/2022 10:00:00,1,660,730,3,1,570
19/07/2022 10:00:16,1,660,730,3,1,570
19/07/2022 10:00:32,1,660,730,3,1,570
19/07/2022 10:00:48,1,660,730,3,1,570
19/07/2022 10:01:04,1,660,730,3,1,560
19/07/2022 10:01:20,1,660,730,3,1,560
19/07/2022 10:01:36,1,660,730,3,1,560
19/07/2022 10:01:52,1,660,730,3,1,590
19/07/2022 10:02:08,1,660,730,3,1,590
19/07/2022 10:02:24,1,660,730,3,1,590
19/07/2022 10:02:40,1,660,730,3,1,590
19/07/2022 10:02:56,1,660,730,3,1,580
19/07/2022 10:03:12,1,670,730,3,1,580
19/07/2022 10:03:28,1,670,730,3,1,580
19/07/2022 10:03:44,1,680,730,3,1,580
19/07/2022 10:04:00,1,680,730,3,1,580
19/07/2022 10:04:16,1,680,730,3,1,580
19/07/2022 10:04:32,1,680,730,3,1,580
19/07/2022 10:04:48,1,680,730,3,1,620
19/07/2022 10:05:04,1,680,730,3,1,620
19/07/2022 10:05:20,1,680,730,3,1,610
19/07/2022 10:05:36,1,690,730,3,1,610
19/07/2022 10:05:52,1,690,730,3,1,610
19/07/2022 10:06:08,1,690,730,3,1,610
19/07/2022 10:06:24,1,690,730,3,1,610
19/07/2022 10:06:40,1,700,730,3,1,610
19/07/2022 10:06:56,1,700,730,3,1,610
19/07/2022 10:07:12,1,700,730,3,1,580
19/07/2022 10:07:28,1,700,730,3,1,580
19/07/2022 10:07:44,1,700,730,3,1,590
19/07/2022 10:08:00,1,700,730,3,1,590
19/07/2022 10:08:16,1,700,730,3,1,580
19/07/2022 10:08:32,1,700,730,3,1,580
19/07/2022 10:08:48,1,700,730,3,1,580
19/07/2022 10:09:04,1,700,730,3,1,590
19/07/2022 10:09:20,1,700,730,3,1,590
19/07/2022 10:09:36,1,700,730,3,1,550
19/07/2022 10:09:52,1,700,730,3,1,550
19/07/2022 10:10:08,1,690,730,3,1,560
19/07/2022 10:10:24,1,690,730,3,1,560
19/07/2022 10:10:40,1,690,730,3,1,590
19/07/2022 10:10:56,1,690,730,3,1,590
19/07/2022 10:11:12,1,690,730,3,1,590
19/07/2022 10:11:28,1,690,730,3,1,590
19/07/2022 10:11:44,1,690,730,3,1,590
19/07/2022 10:12:00,1,690,730,3,2,600
19/07/2022 10:12:16,1,690,730,3,2,600
19/07/2022 10:12:32,1,690,730,3,1,600
19/07/2022 10:12:48,1,690,730,3,1,600
19/07/2022 10:13:04,1,690,730,3,1,610
19/07/2022 10:13:20,1,690,730,3,1,610
19/07/2022 10:13:36,1,690,730,3,1,610
19/07/2022 10:13:52,1,700,730,3,1,600
19/07/2022 10:14:08,1,700,730,3,1,600
19/07/2022 10:14:24,1,700,730,3,2,600
19/07/2022 10:14:40,1,700,730,3,2,600
19/07/2022 10:14:56,1,720,730,3,1,600
19/07/2022 10:15:12,1,720,730,3,1,600
19/07/2022 10:15:28,1,730,730,3,2,600
19/07/2022 10:15:44,1,730,730,3,2,600
19/07/2022 10:16:00,1,740,730,3,2,600
19/07/2022 10:16:16,1,740,730,3,2,600
19/07/2022 10:16:32,1,730,730,3,2,600
19/07/2022 10:16:48,1,730,730,3,2,600
19/07/2022 10:17:04,1,720,730,3,2,600
19/07/2022 10:17:20,1,720,730,3,2,600
19/07/2022 10:17:36,1,700,730,3,2,600
19/07/2022 10:17:52,1,700,730,3,2,600
19/07/2022 10:18:08,1,700,730,3,2,600
19/07/2022 10:18:24,1,700,730,3,2,600
19/07/2022 10:18:40,1,680,730,3,2,590
